Tiempo_ms,Periodo_ms,Frecuencia_Hz
1277271,0.000,0.000
1277571,0.000,0.000
1277871,0.000,0.000
1278171,0.000,0.000
1278474,72.892,13.719
1278774,72.892,13.719
1279074,72.892,13.719
1279374,72.892,13.719
1279674,72.892,13.719
1279974,31.432,31.815
1280274,31.432,31.815
1280573,31.432,31.815
1280873,25.388,39.389
1281173,25.388,39.389
1281473,22.744,43.968
1281773,22.744,43.968
1282073,20.644,48.440
1282373,20.644,48.440
1282673,601.140,1.664
1282973,19.392,51.568
1283273,572.464,1.747
1283573,19.000,52.632
1283873,19.008,52.609
1284173,19.008,52.609
1284473,19.036,52.532
1284773,19.036,52.532
1285073,19.088,52.389
1285373,19.088,52.389
1285673,19.100,52.356
1285974,19.100,52.356
1286274,19.140,52.247
1286574,19.140,52.247
1286874,19.184,52.127
1287174,19.184,52.127
1287474,19.228,52.007
1287774,19.228,52.007
1288074,19.888,50.282
1288374,19.888,50.282
1288674,634.160,1.577
1288974,23.316,42.889
1289274,23.316,42.889
1289574,23.316,42.889
1289874,23.316,42.889
1290173,23.316,42.889
1290473,23.316,42.889
